priority,stratum,s1_kind,trial,criterion_id,criterion_text,E_label,E_child_n,E_notes,D_label,D_child_n,D_notes,binary_mismatch,span_mismatch,risk_signals,is_72_conflict,tier0_flag
1,S1,resolved,NCT02474355,NCT02474355_E8,"Any clinically important abnormalities in rhythm, conduction or morphology of resting ECG (e.g., complete left bundle branch block, third degree heart block, second degree heart block)",none,0,resting ECG 하나를 보고 임상적으로 중요한 이상이 있나를 판정 -> 예시를 macro로 나누지 않음,none,0,macro와 헷갈리긴 했지만.. 그러한 소견 전체가 ECG 결과지에서 판단 가능하므로 non-split.,0,0,umb:e\.g\.; umb:abnormalities; enum:commas=4,1,
2,S1,resolved,NCT03728556,NCT03728556_E6,"Any prior treatment of antibody/drug that targets at T-cell coregulatory proteins (immune checkpoints, including PD-1, PD-L1, CTLA4, TIM3 and LAG3, etc.).",none,0,"immune checkpoints, including PD-1, PD-L1, CTLA4, TIM3 and LAG3 예시들은 단일 약물카테고리로 조회되고 ""etc.""로 열려 있어 child 분할x",none,0,,0,0,bm:\bPD-L1; umb:\bincluding\b; enum:commas=5,1,
3,S1,resolved,NCT01295827,NCT01295827_E5,"Medical condition that requires chronic systemic steroid therapy, or on any other form of immunosuppressive medication, excepting use of inhaled steroids.",composite_split,2,,composite_split,2,,0,0,,0,
4,S1,resolved,NCT02075840,NCT02075840_I6,Participants must have recovered from effects of any major surgery or significant traumatic injury at least 28 days before the first dose of study treatment,composite_split,2,(a) major surgery -> treatment_history (b) traumatic injury -> condition,composite_split,2,,0,0,,0,
5,S1,resolved,NCT02075840,NCT02075840_I8,"Prior brain or leptomeningeal metastases allowed if asymptomatic (e.g., diagnosed incidentally at study baseline)",nested_exception,1,,nested_exception,1,,0,0,umb:e\.g\.,0,
6,S1,resolved,NCT02125461,NCT02125461_I2,"Documented evidence of NSCLC (locally advanced, unresectable, Stage III)",composite_split,3,,composite_split,3,,0,1,"dx:stage\s+(?:I{1,3}V?|IV)\b; dx:locally advanced; dx:unresectable; dx:NSCLC; umb:evidence of",0,
7,S1,resolved,NCT02912949,NCT02912949_E4,"Known HIV, active Hepatitis B without receiving antiviral treatment, or Hepatitis C; patients treated for Hepatitis C and have undetectable viral loads are eligible",composite_split,3,,composite_split,3,,0,0,enum:semicolon,0,
8,S1,resolved,NCT03728556,NCT03728556_E10,History of inflammatory bowel disease or active inflammatory bowel disease (for example Crohn's disease or ulcerative colitis).,none,0,current/history 구분하지 않음. 질병군이 아닌 단일 진단명(Crohn's disease or ulcerative colitis) 예시의 경우 domain kg의 concept node로 처리 -> split 하지 않음.,none,0,,0,0,enum:or=2,0,
9,S1,resolved,NCT03728556,NCT03728556_E17,Subjects with other conditions that in the investigator's opinion may influence subject's compliance or make subjects not suitable for participating in this trial.,composite_split,2,,composite_split,2,,0,0,,0,
10,S1,resolved,NCT03728556,NCT03728556_E5,Current participation in another clinical study or use of any investigational drug within 28 days prior to the first dose of investigational product in this trial. (Participation in the overall survival follow-up of a study is allowed.),nested_exception,1,,nested_exception,1,,0,0,,0,
11,S1,resolved,NCT03728556,NCT03728556_I3,Have histologically confirmed locally advanced/unresectable stage III non-small cell lung cancer.,composite_split,4,,composite_split,4,,0,1,"dx:histologic; dx:stage\s+(?:I{1,3}V?|IV)\b; dx:locally advanced; dx:unresectable",0,
